topic,first_author,year,title,journal,vol_issue_pages,doi,tool,confidence,method_template
1 遗传增益/审定数据,Gong J. et al.,2026,"Three-Line Hybrid Rice in China: Sustained Improvements in Yield, Quality, and Resistance Over Fifty Years",Rice Science,2026-04 (vol/pages NA),10.1016/j.rsci.2026.04.004,Consensus;Undermind;WebSearch,中/高,★
1 遗传增益/审定数据,Lu Y. et al.,2024,"Variations and Trends in Rice Quality across Different Types of Approved Varieties in China, 1978-2022",Agronomy,14(6):1234,10.3390/agronomy14061234,Consensus;Undermind;WebSearch,高,★
1 遗传增益/审定数据,Fan J.-J. et al.,2024,Phenotypic evolution of appearance quality and cooking and taste quality of hybrid rice over the past 40 years in China,Frontiers in Plant Science,15:1512760,10.3389/fpls.2024.1512760,Consensus;Undermind;PubMed,高,★
1 遗传增益/审定数据,Li R. et al.,2019,Exploring the Relationships Between Yield and Yield-Related Traits for Rice Varieties Released in China From 1978 to 2017,Frontiers in Plant Science,10:543,10.3389/fpls.2019.00543,Undermind;Amass,高,★
1 遗传增益/审定数据,Wang X. et al.,2021,Breeding rice varieties provides an effective approach to improve productivity and yield sensitivity to climate resources,European Journal of Agronomy,126239,10.1016/J.EJA.2021.126239,Undermind,高,★
1 遗传增益/审定数据,Hang S. et al.,2024,Evolution of Rice Cultivar Performance Across China: A Multi-Dimensional Study on Yield and Agronomic Characteristics over Three Decades,Agronomy,14(12):2780,10.3390/agronomy14122780,WebSearch;Undermind,高,★
1 遗传增益/审定数据,Feng F. et al.,2017,Changes in Rice Grain Quality of Indica and Japonica Type Varieties Released in China from 2000 to 2014,Frontiers in Plant Science,8:1863,10.3389/fpls.2017.01863,Consensus;Undermind,高,★
1 遗传增益/审定数据,"Shi X., Hu R.",2017,Rice variety improvement and the contribution of foreign germplasms in China,Journal of Integrative Agriculture,16(10):2337-2345,10.1016/S2095-3119(16)61615-5,Undermind,高,
1 遗传增益/审定数据,Seck F. et al.,2023,Realized Genetic Gain in Rice: Achievements from Breeding Programs,Rice,16 (art. s12284-023-00677-6),10.1186/s12284-023-00677-6,Undermind;Amass,高,★
1 遗传增益/审定数据,Zhu G. et al.,2016,Genetic Improvements in Rice Yield and Concomitant Increases in Radiation- and Nitrogen-Use Efficiency in Middle Reaches of Yangtze River,Scientific Reports,6:21049,10.1038/srep21049,Amass,高,
1 遗传增益/审定数据,Meng T. et al.,2021,Trends in grain quality and responses to nitrogen application of japonica inbred rice released after the 1980s in east China,Cereal Chemistry,99(3):503-519,10.1002/cche.10512,Scholar Gateway;Undermind,高,
1 遗传增益/审定数据,Li X. et al.,2021,Inter-annual climate variability constrains rice genetic improvement in China,Food and Energy Security,10(4),10.1002/FES3.299,Undermind;Scholar Gateway,高,
1 遗传增益/审定数据,Wu Y. et al.,2025,Analysis of the late rice varieties approved in Jiangxi Province from 2010 to 2023 and their traits,Acta Agriculturae Universitatis Jiangxiensis,NA,NA,Consensus,高,★
1 遗传增益/审定数据,Yang H. et al.,2025,"Temporal changes in grain yield and quality of rice varieties released in Guangdong Province, China (1990-2020)",Frontiers in Agronomy,NA,10.3389/fagro.2025.1604840,Consensus;Undermind,高,★
