id,authors,year,title,journal,vol_issue_pages,doi_or_url,topic,tool,confidence
R01,Xie Z; Yuan S; Zhu J; Li W,2023,Contract farming led by a seed enterprise and incentives to produce high quality: Which contract design performs best?,Agribusiness,39(4):1173-1198,10.1002/agr.21823,T2 seed-enterprise-led contract farming,WebSearch;SG;Consensus;Undermind,high
R02,Xiang C; Yang R; Wang X; Huang J,2025,Impact of seed regulation reform on licensing fees of varieties in China,Agribusiness,early view,10.1002/agr.22020,T3 seed policy/licensing fees,WebSearch;Consensus;SG;Undermind,high
R03,Deng H; Yu C; Jin Y; Pray C; Liu C; Deng L,2025,How is China shaping global food supply chains? Insights from the seed industry,European Review of Agricultural Economics,,10.1093/erae/jbaf017,T4 M&A/concentration,Undermind,high
R04,Xu S; Cao C,2025,Historical transitions of seed breeding in China: From socialist cooperation to joint research,Journal of Rural Studies,114:103592,10.1016/j.jrurstud.2025.103592,T1 breeding system,Undermind;WebSearch,medium
R05,Xu S,2021,Rethinking the liberation of China's seed market: a comparative study of China's regulatory frameworks with EU and US,Agroecology and Sustainable Food Systems,46(2):251-272,10.1080/21683565.2021.1989104,T3 Seed Law,Undermind,high
R06,Hu S; Xiong C; Jiang D,2025,Enhancing the marketization and globalization response capacity of policies: Evolution of China's seed industry policies since the 21st century,Agriculture,15(22):2383,10.3390/agriculture15222383,T3 policy evolution,Undermind,high
R07,Wang N; Kang S,2025,China's seed industry restructuring policy and changes in corporate productivity,Journal of Northeast Asian Economic Studies,37(3),10.52819/jnes.2025.37.3.1,T4 concentration CR5,Undermind,high
R08,Hu R; Liang Q; Pray C; Huang J; Jin Y,2011,"Privatization, public R&D policy, and private R&D investment in China's agriculture",Journal of Agricultural and Resource Economics,36(2):416-432,10.22004/AG.ECON.117213,T1/T7 private R&D,Undermind,high
R09,Deng H; Hu R; Pray C; Jin Y,2019,Impact of government policies on private R&D investment in agricultural biotechnology: Evidence from chemical and pesticide firms in China,Technological Forecasting and Social Change,147,10.1016/j.techfore.2019.07.011,T7 R&D determinants,Undermind,high
R10,Jin Y; Hu Y; Pray C; Hu R,2017,Impact of government science and technology policies with a focus on biotechnology research on commercial agricultural innovation in China,China Agricultural Economic Review,9(3):438-452,10.1108/CAER-05-2017-0096,T7 innovation policy,Undermind,high
R11,Cai J; Hu R; Huang J; Wang X,2017,Innovations in genetically modified agricultural technologies in China's public sector: Successes and challenges,China Agricultural Economic Review,9(2):317-330,10.1108/CAER-10-2016-0170,T3 GM public sector,Undermind,high
R12,Yao B; Qiao F,2023,The heterogeneous effects of central and local subsidies on firms' innovation,Sustainability,15(2):1049,10.3390/su15021049,T7 subsidies seed firms,Undermind,high
R13,Koo B; Pardey PG; Qian K; Zhang Y,2006,An option perspective on generating and maintaining plant variety rights in China,Agricultural Economics,35(1):35-48,10.1111/j.1574-0862.2006.00137.x,T3 PVP,SG;Undermind,high
R14,Hu R; Pray C; Huang J; Rozelle S; Fan C; Zhang C,2009,Reforming intellectual property rights and the Bt cotton seed industry in China: Who benefits from policy reform?,Research Policy,38(5):793-801,10.1016/j.respol.2008.12.008,T3 IPR reform,Undermind,medium
R15,Zheng S; Xu P; Wang Z,2012,Farmers' adoption of new plant varieties under variety property right protection: Evidence from rural China,China Agricultural Economic Review,4(1):124-140,10.1108/17561371211196810,T5 adoption,Undermind,high
R16,Zhao Y; Deng H; Hu R; Xiong C,2022,Impact of government policies on seed innovation in China,Agronomy,12(4):917,10.3390/agronomy12040917,T3 variety approval effects,Undermind,high
R17,Qin Y; Su K,2026,From lab to market: industrialization barriers and regulation optimization for new breeding technologies in China,GM Crops & Food,17(1),10.1080/21645698.2025.2610592,T3 NBT governance,Consensus;PubMed;Undermind,high
