row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len
0,荃优822,鄂审稻2016016,2016.0,省审,鄂,True,True,False,籼,中稻,,,,,,,136.3,-1.4,115.1,15.8,25.2,183.3,85.8,27.89,2.8,2.8,5.0,中感稻瘟病,5.0,中感白叶枯病,,,,,,,,,,,,,True,,332
1,Y两优9918,湘审稻2009029,2009.0,省审,湘,True,False,True,籼,晚籼,,583.04,7.99,汕优63,,,124.0,,117.0,16.5,,175.5,79.7,26.8,,,,,,高感白叶枯病,,,,61.2,5.0,50.0,13.7,72.0,2.8,5.6,,,False,湖南天盛生物科技有限公司、湖南省杂交水稻研究中心,456
2,徽两优丝苗,国审稻20176038,2017.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,682.75,1.9,丰两优四号,581.28,7.24,136.1,-1.3,111.6,16.2,23.6,202.2,83.6,22.9,,,,中感稻瘟病,7.0,感白叶枯病,9.0,,,69.0,7.7,27.0,15.0,79.0,3.2,,,,False,,420
3,C两优华占,国审稻2013003,2013.0,国审,,True,False,True,籼,中稻,长江上游中籼组,602.9,,Ⅱ优838,619.0,7.7,157.2,-0.7,101.8,16.5,23.0,202.2,79.3,23.7,3.9,3.9,,中感稻瘟病,,,9.0,抽穗期耐热性一般,耐冷性弱,60.3,2.0,18.0,15.7,85.0,2.9,,3.0,《优质稻谷》,False,湖南金色农华种业科技有限公司,408
4,Y两优3218,湘审稻2009030,2009.0,省审,湘,True,False,True,籼,晚籼,,,,汕优63,,,127.0,,124.0,17.0,,165.2,80.0,27.2,,,,,,中感白叶枯病,,,,63.6,6.2,44.0,15.4,76.0,2.9,6.8,,,False,湖南科裕隆种业有限公司、、国家杂交水稻工程研究中心,413
5,五优华占,桂审稻2013036,2013.0,省审,桂,True,True,False,籼,早稻,桂中、桂北稻作区早稻中熟组,,,,493.7,8.38,126.0,-2.0,105.7,18.3,20.9,154.0,81.2,23.8,4.8,4.8,,中感稻瘟病,,高感白叶枯病,,,,66.9,2.3,,13.4,81.0,2.8,,,,False,广东省农业科学院水稻研究所、湖南金色农华种业科技有限公司,513
6,Y两优2号,湘审稻2011020,2011.0,省审,湘,True,False,True,,中稻,,561.2,2.9,Ⅱ优58,,,143.8,,115.9,15.45,,176.4,82.0,25.7,,,,高感稻瘟病,,,,,,67.2,2.1,30.0,15.0,90.0,,3.3,,,False,湖南杂交水稻研究中心,410
7,牡丹江30,,,,,True,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,黑龙江省农科院牡丹江分院,30
8,徽两优996,国审稻2012021,2012.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,575.8,,Ⅱ优838,602.6,8.6,132.4,-1.2,113.6,15.9,24.0,180.7,80.1,26.8,5.3,5.3,,高感稻瘟病,7.0,感白叶枯病,9.0,,,61.0,9.7,40.0,13.1,79.0,2.8,,,,False,合肥科源农业科学研究所、安徽省农业科学院水稻研究所,399
9,晶两优534,国审稻2016605,2016.0,国审,,True,False,True,籼,中籼,长江上游中籼迟熟组,626.3,2.09,F优498,630.37,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,244
10,南粳9108,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,3
11,隆两优华占,赣审稻2015003,2015.0,省审,赣,True,False,True,,,,618.0,8.52,Y两优1号,,,127.7,,118.5,18.5,23.7,175.3,82.7,23.6,,,,高感稻瘟病,,,,,,,,,,90.0,3.4,,,,False,江西众人种业有限责任公司,427
12,两优1128,湘审稻2011024,2011.0,省审,湘,True,False,True,,晚稻,,568.3,6.19,汕优63,,,127.0,,120.0,14.0,,195.8,76.6,29.6,,,,高感稻瘟病,,,,,,51.1,5.9,39.0,14.6,80.0,3.1,4.2,,,False,湖南杂交水稻研究中心,427
13,黄华占,浙审稻2010014,2010.0,省审,浙,False,False,False,,单季,,,,两优培九,535.3,,127.4,-6.8,102.0,18.2,23.0,156.1,89.6,23.2,,,,,,,,,,64.4,2.4,16.0,17.2,64.0,3.3,,,部颁,False,广东省农业科学院水稻研究所,540
14,徽两优898,国审稻2015028,2015.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,615.2,,丰两优四号,624.1,7.0,133.6,-2.0,107.9,17.6,23.8,189.7,83.8,23.5,2.8,2.8,,中感稻瘟病,5.0,中感白叶枯病,9.0,抽穗期耐热性中等,,59.6,1.9,12.0,13.0,78.0,3.2,,,,True,安徽荃银高科种业股份有限公司,411
15,广两优1128,湘审稻2013012,2013.0,省审,湘,True,False,True,,中稻,,649.94,4.55,Y两优1号,,,137.5,,117.9,,,191.1,81.7,28.6,,,,,,,,,,60.4,3.2,40.0,15.0,88.0,3.1,5.0,,,False,袁隆平农业高科技股份有限公司、湖南杂交水稻研究中心,440
16,宜香优2115,国审稻2012003,2012.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟组,603.9,,Ⅱ优838,623.3,7.1,156.7,-1.5,117.4,15.0,26.8,156.5,82.2,32.9,3.6,3.6,,中感稻瘟病,,,9.0,,,54.5,2.2,15.0,17.1,78.0,2.9,,2.0,《优质稻谷》,False,四川省绿丹种业有限责任公司、四川农业大学农学院、宜宾市农业科学院,413
17,晶两优华占,湘审稻2015022,2015.0,省审,湘,True,False,True,籼,晚稻,,606.78,2.2,,,,126.8,,120.0,19.4,,172.7,77.9,23.2,,,,,6.0,,,,,66.2,4.5,19.0,15.4,85.0,3.2,6.5,,,False,湖南亚华种业科学研究院、中国水稻研究所,435
18,泰优390,湘审稻2013027,2013.0,省审,湘,True,True,False,,晚稻,,538.64,3.17,天优华占,,,118.5,,105.2,20.25,,149.55,81.0,25.2,,,,,,,,,,66.5,1.0,7.0,17.6,70.0,3.4,7.0,,,False,湖南金稻种业有限公司、广东省农业科学院水稻研究所,443
19,C两优0861,赣审稻2016004,2016.0,省审,赣,True,False,True,,,,634.4,7.51,Y两优1号,,,125.9,,113.2,19.6,23.1,161.9,85.2,25.3,,,,高感稻瘟病,,,,,,,,,,83.0,3.3,,,,False,江西先农种业有限公司,435
20,Y两优900,国审稻2015034,2015.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,625.2,,丰两优四号,618.8,5.4,140.7,2.7,119.7,14.9,27.7,238.2,78.3,24.4,5.1,5.1,,高感稻瘟病,5.0,中感白叶枯病,9.0,抽穗期耐热性中等,,68.1,1.4,12.0,14.7,68.0,3.0,,,,False,创世纪种业有限公司,408
21,Y两优302,国审稻2010022,2010.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,603.1,7.1,Ⅱ优838,579.3,6.4,136.5,2.3,131.9,16.5,26.6,178.1,84.1,26.5,5.0,5.0,,,7.0,,9.0,抽穗期耐热性弱,,65.2,2.9,17.0,16.2,74.0,2.8,,2.0,《优质稻谷》,False,长沙年丰种业有限公司,478
22,玉针香,湘审稻2009038,2009.0,省审,湘,False,False,False,籼,晚籼,,443.97,4.25,金优207,,,114.0,,119.0,28.1,,115.8,81.1,28.0,,,,高感稻瘟病,,感白叶枯病,,,,55.8,0.4,3.0,16.0,86.0,4.9,6.0,,,False,湖南省水稻研究所、 湖南金健米业股份有限公司,427
23,深两优5814,,,,,True,False,True,籼,中籼,,,,Ⅱ优838,,,,1.2,,15.5,,,87.08,26.33,,,,,,,,,,,,,,,,,,,False,国家杂交水稻工程技术研究中心、清华深圳龙岗研究所,253
24,金粳818,国审稻2014046,2014.0,国审,,False,False,False,粳,,黄淮粳稻组,595.3,,徐稻3号,684.1,3.6,155.4,-1.5,101.1,20.5,15.5,,87.4,23.5,,,3.0,中抗稻瘟病,,,,,,68.4,1.9,19.8,17.8,80.0,,,2.0,《优质稻谷》,False,天津市水稻研究所,390
