variety,approval_no,year,company,found_in_announcement_corpus,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,duration_d,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,bph_grade,head_rice_pct,chalkiness_deg_pct,amylose_pct,gel_mm,lw_ratio,quality_grade,region_group,applicant,core9_fields_present,websearch_status,source,confidence
徽两优6号,国审稻2012019,2012,荃银(安徽农科院水稻所/荃银联合),YES,578.0,,Ⅱ优838,604.2,135.1,5.7,,高感稻瘟病,7.0,9.0,58.8,6.9,14.7,76.0,2.9,,长江中下游中籼迟熟组,安徽省农业科学院水稻研究所,6,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",中（部分字段缺失）
荃优丝苗,国审稻2016028,2016,荃银,YES,635.3,,丰两优四号,671.3,136.3,,,中感稻瘟病,5.0,7.0,64.8,3.0,16.3,74.0,3.2,3.0,长江中下游中籼迟熟组,,7,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
荃两优851,国审稻20196110,2019,荃银,YES,650.87,6.85,丰两优四号,642.7,132.2,,5.0,中感稻瘟病,7.0,9.0,68.9,1.8,16.2,69.0,3.1,2.0,,安徽荃银高科种业股份有限公司,9,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
荃优822,国审稻20196205,2019,荃银,YES,462.92,2.15,博优998,458.91,117.8,,3.0,中抗稻瘟病,5.0,9.0,58.2,2.0,14.9,71.0,3.2,2.0,华南感光晚籼组,安徽荃银高科种业股份有限公司,9,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
荃优851,国审稻20210041,2021,荃银,YES,,,,,152.8,,5.0,中感稻瘟病,,9.0,65.9,0.5,17.6,74.0,3.0,1.0,长江上游中籼迟熟组,,7,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
荃两优2118,国审稻20210020,2021,荃银,YES,668.46,6.15,天优华占,556.9,120.2,,5.0,中感稻瘟病,7.0,9.0,64.4,0.7,14.3,74.0,3.2,1.0,华南早籼组,,9,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
荃优6019,国审稻20232050,2023,荃银,YES,642.0,6.2,,628.0,133.9,,5.0,中感稻瘟病,5.0,9.0,67.3,1.0,16.8,77.0,2.9,,长江中下游中籼迟熟组,安徽荃银高科种业股份有限公司,8,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
荃两优1606,国审稻20242077,2024,荃银,YES,627.0,5.2,,614.0,140.4,,3.0,中抗稻瘟病,,,64.2,0.4,17.1,77.0,3.2,,武陵山区中籼组,安徽荃银高科种业股份有限公司,8,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
荃优香66,国审稻20242085,2024,荃银,YES,660.4,6.4,,638.9,149.7,,5.0,中感稻瘟病,,9.0,70.2,0.4,19.0,78.0,3.3,,长江上游中籼迟熟组,安徽荃银高科种业股份有限公司,8,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
晶两优华占,国审稻20176071,2017,隆平高科/亚华,YES,713.1,5.9,,,138.5,,,中抗稻瘟病,7.0,7.0,66.4,3.0,14.1,81.0,3.1,,长江中下游中籼迟熟组,,7,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
隆两优1212,国审稻20196013,2019,隆平高科,YES,646.5,1.94,F优498,623.88,154.6,,5.0,中感稻瘟病,5.0,9.0,60.8,1.6,19.4,62.0,3.0,2.0,长江上游中籼迟熟组,袁隆平农业高科技股份有限公司,9,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
玮两优8612,国审稻20206128,2020,隆平高科,YES,670.52,6.3,丰两优四号,653.46,133.3,,3.0,中抗稻瘟病,7.0,9.0,63.6,2.0,16.0,68.0,3.2,,长江中下游中籼迟熟组,袁隆平农业高科技股份有限公司,8,未执行：本会话 WebSearch 配额已耗尽（200/200）,"农业农村部国家农作物品种审定公告原文，经 GitHub he-zhui/Rice_QA (jw/qa_data.json, source=rice_extracted_fields.csv) 汇编；本项目 scripts/parse_variety_texts.py 正则抽取",高（公告原文字段）
