variety,approval_no,year,type,region_group,region,yield_kg_per_mu,yield_gain_pct,ck,prod_trial,duration_d,quality_grade,blast_index,blast_text,neck_blast_max,blb,bph,heat_cold,applicant,row_index
新两优6号,国审稻2007016,2007,两系籼,长江中下游中籼迟熟组品种,长江中下游,,,,,130.1,,6.6,,,5,,,安徽荃银农业高科技研究所,239
新两优106,国审稻2008016,2008,两系籼,长江中下游早熟晚籼组品种,长江中下游,503.0,5.63,,531.1 (增产4.10%),112.7,,6.0,,,,7,,安徽荃银禾丰种业有限公司,362
新两优223,国审稻2010011,2010,两系籼,长江中下游中籼迟熟组品种,长江中下游,608.6,6.78,,579.7 (增产7.2%),134.4,,6.2,,,7,9,,安徽荃银高科种业股份有限公司,119
新两优343,国审稻2010021,2010,两系籼,长江中下游中籼迟熟组品种,长江中下游,607.0,7.8,,594.8 (增产9.2%),134.2,,6.0,,,5,9,,安徽荃银高科种业股份有限公司,118
新两优901,国审稻2010030,2010,两系籼,长江中下游晚籼中迟熟组品种,长江中下游,518.2,6.77,,487.9 (增产4.9%),115.8,,6.1,,,7,9,,安徽荃银高科种业股份有限公司,305
徽两优6号,国审稻2012019,2012,两系籼,长江中下游中籼迟熟组,,,,,,135.1,,5.7,高感稻瘟病,,7,9,抽穗期耐热性一般,安徽省农业科学院水稻研究所,1266
徽两优996,国审稻2012021,2012,两系籼,长江中下游中籼迟熟组,,,,,,132.4,,5.3,高感稻瘟病,,7,9,,合肥科源农业科学研究所、安徽省农业科学院水稻研究所,8
新两优917,国审稻2013029,2013,两系籼,长江中下游晚籼早熟组,长江中下游,,,,,118.1,,6.2,高感稻瘟病,,7,9,,安徽荃银高科种业股份有限公司,148
徽两优882,国审稻2015025,2015,两系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,140.3,,3.9,感稻瘟病,,5,9,抽穗期耐热性中等；感稻瘟病,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、安徽省农业科学院水稻研究所,94
徽两优630,国审稻2015027,2015,两系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,134.4,,5.9,感稻瘟病,,5,9,抽穗期耐热性中等；感稻瘟病,安徽省农业科学院水稻研究所、安徽华安种业有限责任公司 / 安徽省农业科学院水稻研究所、安徽华安种业有限责任公司,3334
徽两优898,国审稻2015028,2015,两系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,133.6,,2.8,中感稻瘟病,,5,9,抽穗期耐热性中等；中感稻瘟病,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、安徽省农业科学院水稻研究所,14
新两优998,国审稻2015033,2015,两系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,131.9,,4.1,中感稻瘟病,,1,7,抽穗期耐热性较强；中感稻瘟病,中国种子集团有限公司江西分公司 / 中国种子集团有限公司江西分公司,196
荃优丝苗,国审稻2016028,2016,三系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,136.3,,3.1/3.1,中感稻瘟病,,5,7,,,1547
徽两优001,国审稻2016036,2016,两系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,136.0,,3.7/3.6,感稻瘟病,,5,9,,,126
徽两优1813,国审稻20170020,2017,两系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,140.4,,4.4/4.6,感稻瘟病,,5,9,,,3779
荃优153,国审稻20170021,2017,三系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,139.3,,5.8/5.6,感稻瘟病,,7,7,,,3525
荃优3745,国审稻20170039,2017,三系籼,长江中下游中籼迟熟组,长江中下游,,,丰两优四号,,137.8,,6.2/4.3,高感稻瘟病,,7,9,,,4362
