variety,approval_no,year,type,region,yield_kg_per_mu,yield_gain_pct,ck,prod_trial,duration_d,quality_grade,blast_index,blast_text,neck_blast_max,blb_grade,bph_grade,heat_cold,super_rice,ratoon_recommended,source_url,confidence
新两优6号,国审稻2007016,2007,两系籼,长江中下游中籼迟熟组品种,,,,,130.1,,6.6,,,5,,,2006,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
徽两优6号,国审稻2012019,2012,两系籼,长江中下游中籼迟熟组,,,,,135.1,,5.7,高感稻瘟病,,7,9,抽穗期耐热性一般,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
徽两优996,国审稻2012021,2012,两系籼,长江中下游中籼迟熟组,,,,,132.4,,5.3,高感稻瘟病,,7,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
新两优917,国审稻2013029,2013,两系籼,长江中下游晚籼早熟组,,,,,118.1,,6.2,高感稻瘟病,,7,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
徽两优898,国审稻2015028,2015,两系籼,长江中下游中籼迟熟组,,,丰两优四号,,133.6,,2.8,中感稻瘟病,,5,9,抽穗期耐热性中等；中感稻瘟病,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
新两优998,国审稻2015033,2015,两系籼,长江中下游中籼迟熟组,,,丰两优四号,,131.9,,4.1,中感稻瘟病,,1,7,抽穗期耐热性较强；中感稻瘟病,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃优丝苗,国审稻2016028,2016,三系籼,长江中下游中籼迟熟组,,,丰两优四号,,136.3,,3.1/3.1,中感稻瘟病,,5,7,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃优153,国审稻20170021,2017,三系籼,长江中下游中籼迟熟组,,,丰两优四号,,139.3,,5.8/5.6,感稻瘟病,,7,7,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃优1393,国审稻20170045,2017,三系籼,长江中下游中籼迟熟组,,,丰两优四号,,139.0,,4.8/6.1,高感稻瘟病,,7,7,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃优华占,国审稻20176001,2017,三系籼,长江上游中籼迟熟组,,,,,152.8,,3.5/3.0,中感稻瘟病,,,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃优0861,国审稻20176030,2017,三系籼,长江上游中籼迟熟组绿色通道,657.12,5.50,,609.74 (增产2.20%),153.0,,3.4/3.2,中感稻瘟病,,,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
徽两优丝苗,国审稻20176038,2017,两系籼,长江中下游中籼迟熟组绿色通道,,,丰两优四号,,136.1,,3.4/3.7,中感稻瘟病,,7,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃优527,国审稻20176040,2017,三系籼,长江中下游,,,丰两优四号,,135.5,,4.0/5.9,高感稻瘟病,,,,抽穗期耐热性3级；高感稻瘟病,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃两优丝苗,国审稻20176041,2017,两系籼,长江中下游,,,丰两优四号,,136.6,,3.5/3.4,中感稻瘟病,,,,抽穗期耐热性1级；中感稻瘟病,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)","中(公告原文字段, 产量字段缺失)"
荃9优063,国审稻20176043,2017,三系籼,长江中下游中籼迟熟组绿色通道,659.7,4.80,丰两优四号,574.0 (增产3.20%),134.7,,,中感稻瘟病,,5,9,抽穗期耐热性较强；中感稻瘟病,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优527,国审稻20180011,2018,三系籼,长江上游中籼迟熟组,652.36,3.88,,635.16 (增产6.60%),153.1,,5.9/5.6,感稻瘟病,7,,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优丝苗,国审稻20180012,2018,三系籼,长江上游中籼迟熟组,637.38,1.58,,626.96 (增产9.43%),153.6,二级,3.9/2.6,中感稻瘟病,5,,7,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优2118,国审稻20180025,2018,两系籼,长江中下游中籼迟熟组,645.18,5.09,,642.41 (增产6.36%),135.5,二级,3.8/2.8,中感稻瘟病,5,,,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优0861,国审稻20180037,2018,三系籼,长江中下游中籼迟熟组,648.22,8.19,丰两优四号,655.39 (增产7.39%),134.6,三级,3.8/3.4,中感稻瘟病,5,,,抽穗期耐热性强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃9优801,国审稻20180082,2018,三系籼,长江上游中籼迟熟组,625.91,4.87,丰两优四号,601.7 (增产4.44%),153.1,三级,3.6/4.2,中感稻瘟病,5,,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优851,国审稻20196110,2019,两系籼,长江中下游中籼迟熟,650.87,6.85,丰两优四号,642.7 (增产5.27%),132.2,二级,2.8/3.5,中感稻瘟病,5,7,9,抽穗期耐热性3级；中感稻瘟病,,未确认,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优丝苗,国审稻20196203,2019,三系籼,华南早籼组,538.06,2.55,天优华占,542.31 (增产5.20%),128.6,二级,3.7/3.8,中感稻瘟病,,7,,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优华占,国审稻20196204,2019,三系籼,华南早籼组,541.19,3.14,天优华占,540.12 (增产4.62%),128.7,三级,2.6/2.8,中抗稻瘟病,,9,,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优822,国审稻20196205,2019,三系籼,华南感光晚籼组,462.92,2.15,,458.91 (增产5.59%),117.8,二级,2.3/3.6,中抗稻瘟病,3,5,9,,,未确认,https://www.ricedata.cn/variety/varis/615830.htm,高(公告原文字段)
荃两优华占,国审稻20200083,2020,两系籼,长江上游中籼迟熟组联合体,622.82,-0.16,,607.45 (增产2.12%),150.2,二级,3.4/4.5,感稻瘟病,7,,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优069,国审稻20200210,2020,两系籼,长江中下游中籼迟熟组联合体,675.11,4.63,丰两优四号,648.37 (增产5.60%),133.1,二级,3.9/3.8,中感稻瘟病,,7,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优1606,国审稻20206016,2020,三系籼,长江上游中籼迟熟组,658.46,5.0,丰两优四号,675.67 (增产4.48%),151.3,一级,3.4/3.9,中感稻瘟病,5,7,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优丝苗,国审稻20206019,2020,两系籼,长江上游中籼迟熟组,662.43,5.67,,654.74 (增产4.54%),151.3,一级,3.9/3.2,中感稻瘟病,5,,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优851,国审稻20206020,2020,两系籼,长江上游中籼迟熟组,655.16,4.43,,650.14 (增产3.82%),152.1,二级,4.0/3.0,中感稻瘟病,5,,9,抽穗期耐热性较强,,未确认,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃9优063,国审稻20206043,2020,三系籼,长江上游中籼迟熟组,672.36,7.20,,678.69 (增产4.80%),151.0,,4.0/4.9,中感稻瘟病,5,,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃两优1606,国审稻20206076,2020,两系籼,长江中下游中籼迟熟组,650.99,2.96,丰两优四号,626.31 (增产1.51%),129.5,二级,3.9/4.0,中感稻瘟病,,7,9,抽穗期耐热性较强,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优607,国审稻20206150,2020,三系籼,长江中下游中籼迟熟组,640.47,7.25,丰两优四号,654.82 (增产6.56%),126.0,一级,3.9/3.8,中感稻瘟病,5,7,9,抽穗期耐热性强,2025,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃优851,国审稻20206219,2020,三系籼,华南感光晚籼组,485.13,2.37,丰两优四号,482.08 (增产3.76%),118.9,二级,3.7/3.7,中感稻瘟病,5,5,9,抽穗期耐热性一般,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
荃9优801,国审稻20210002,2021,两系籼,华南早籼组,522.72,1.38,天优华占,534.84 (增产0.30%),122.2,二级,4.1/4.2,中感稻瘟病,5,5,9,,,,"https://raw.githubusercontent.com/he-zhui/Rice_QA/main/jw/qa_data.json (字段来源 rice_extracted_fields.csv, 审定公告原文)",高(公告原文字段)
