tau,wald,p,n,beta_D,beta_trendbreak,trait
2009,1.005706888340948,0.604802425220409,1167,19.95776703019842,7.388031635306237,yield_2yr_kg_mu
2010,1.0057068883407598,0.6048024252204658,1167,27.34579866550202,7.388031635305415,yield_2yr_kg_mu
2011,4.439349410375797,0.10864444455155839,1167,10.166881724020197,1.796988265734015,yield_2yr_kg_mu
2012,10.238633276733406,0.0059801080754409075,1167,14.53409395635229,1.7887261312991365,yield_2yr_kg_mu
2013,68.73963653128037,1.1840705599878967e-15,1167,36.77351471763747,2.9123252498916816,yield_2yr_kg_mu
2014,177.61724571956117,2.6971502886586646e-39,1167,46.47752876168887,1.6375383156025967,yield_2yr_kg_mu
2015,181.87516355639752,3.2085590477066825e-40,1167,41.52695035734363,-0.42495356862473044,yield_2yr_kg_mu
2016,168.02069652208627,3.2716687627464435e-37,1167,31.84367000849705,-2.95503921854582,yield_2yr_kg_mu
2017,230.2928093779356,9.829961855441724e-51,1167,27.291160449544677,-4.861658191597943,yield_2yr_kg_mu
2018,86.23254444408651,1.8829591302460058e-19,1167,-2.440875889197382,-6.326630574188446,yield_2yr_kg_mu
2019,86.0855711202014,2.026542637400473e-19,1167,-6.032839286542097,-6.6071409515747295,yield_2yr_kg_mu
2009,52.740877106439164,3.527475864801045e-12,1186,-7.714918632050217,-0.14113162296871362,head_rice_pct
2010,52.74087710644015,3.5274758647993128e-12,1186,-7.85605025501874,-0.1411316229686399,head_rice_pct
2011,51.13119796346945,7.888627254194173e-12,1186,2.165741357385047,1.9769598757862306,head_rice_pct
2012,58.56483263834103,1.9178214680014257e-13,1186,-2.530546058355723,1.0354628358061537,head_rice_pct
2013,73.35836079334729,1.1760731985814535e-16,1186,-2.928179882460767,1.030129451296705,head_rice_pct
2014,73.74144779325297,9.710644784526785e-17,1186,-0.24441333606242077,1.2681935323704883,head_rice_pct
2015,73.94565016425148,8.768111955513536e-17,1186,1.6036382948884633,1.3052802829016081,head_rice_pct
2016,73.07024994172068,1.358303530495345e-16,1186,3.242084537025791,1.219923540766167,head_rice_pct
2017,66.40460578192285,3.8055993827824326e-15,1186,3.2139245099941993,1.036052411094141,head_rice_pct
2018,48.4787615357068,2.9714654691613935e-11,1186,1.0619956866833888,0.9009548479526771,head_rice_pct
2019,41.19046758241721,1.1365894249601724e-09,1186,1.8095231016890279,0.6951328821402234,head_rice_pct
2009,22.88001294345656,1.0756433990007995e-05,1187,-1.3025585936894841,-1.6959910072232398,chalkiness_deg_pct
2010,22.88001294345603,1.0756433990010841e-05,1187,-2.9985496009122423,-1.6959910072231064,chalkiness_deg_pct
2011,22.304624628224857,1.4342085312084095e-05,1187,-0.16956911366002891,-0.7808619040959686,chalkiness_deg_pct
2012,22.619598621307382,1.2252270261763087e-05,1187,-1.9962096694933875,-0.9114729307991805,chalkiness_deg_pct
2013,20.708131636534546,3.1862976985028517e-05,1187,-1.358507926479341,-0.6747553180929584,chalkiness_deg_pct
2014,19.392776392454333,6.150523921901838e-05,1187,-1.3541069313201066,-0.5698502245701312,chalkiness_deg_pct
2015,19.971258837652375,4.605706352658871e-05,1187,-2.1479736110377163,-0.5297215989120471,chalkiness_deg_pct
2016,15.037027150961828,0.0005429390041904588,1187,-1.0600571024578191,-0.37810808109994815,chalkiness_deg_pct
2017,13.679990712783964,0.0010701083687918687,1187,-0.7000903629317038,-0.31983219964971593,chalkiness_deg_pct
2018,14.917580728491156,0.0005763529270998526,1187,0.1384489943207975,-0.35112520339168846,chalkiness_deg_pct
2019,15.71116698885051,0.00038758185435804613,1187,-0.7298635999917451,-0.22300793545157052,chalkiness_deg_pct
2009,9.271023729696756,0.009701140094652458,845,0.3867670715055179,0.26763119982358025,quality_top2_var
2010,9.271023729697438,0.00970114009464915,845,0.6543982713291745,0.26763119982359784,quality_top2_var
2011,10.532441992917091,0.005163085069521276,845,-0.33112942165365084,0.023514282728944857,quality_top2_var
2012,14.222560257883252,0.0008158499302330539,845,-0.419770808444322,0.01518099901683948,quality_top2_var
2013,28.40980005534196,6.77470364441553e-07,845,-0.5806794972810246,0.013134314597529081,quality_top2_var
2014,30.26750732924488,2.676050427206176e-07,845,-0.42537869630943914,0.04591437488447083,quality_top2_var
2015,45.52859060194215,1.2989491987673065e-10,845,-0.4893752208747648,0.0472778287677861,quality_top2_var
2016,36.123001682887285,1.4321544265714913e-08,845,-0.21211670078393863,0.07317277701301406,quality_top2_var
2017,33.90987466551196,4.330761580525319e-08,845,0.04065905895951017,0.09030464293649205,quality_top2_var
2018,35.569788884121536,1.888506494036195e-08,845,-0.02201095267400114,0.09873895821713496,quality_top2_var
2019,37.36900187116843,7.681116401410939e-09,845,0.1684993903755448,0.08016743519462619,quality_top2_var
2009,0.03987512574641723,0.9802598760062418,946,0.31304499762909693,0.1093908482384552,yield_gain_pct
2010,0.039875125746373,0.9802598760062634,946,0.42243584586727634,0.10939084823837808,yield_gain_pct
2011,1.403092567365813,0.49581803539916125,946,0.8113490675521015,0.08719361992920957,yield_gain_pct
2012,0.6504723775016921,0.7223567209605166,946,0.45771155109615663,-0.003920377740902298,yield_gain_pct
2013,0.6504723775017442,0.7223567209604977,946,0.45379117335525976,-0.003920377740906073,yield_gain_pct
