trait,year,beta,se,p,n,note
head_rice_pct,2017,-0.6141752577322007,0.7061712462474012,0.38445034235668596,113,
head_rice_pct,2019,-1.7937574493444426,1.009139019107676,0.07548391880223401,139,
head_rice_pct,2020,-2.63351142438625,0.7328509607829322,0.0003262459965394922,211,
head_rice_pct,2021,-1.4845325883488258,0.6446022066996616,0.021277646763864295,282,
head_rice_pct,2022,-3.032566287878754,1.0953784724279128,0.005631325222563698,89,
chalkiness_deg_pct,2017,2.7107666290868107,0.4740625235581009,1.0768202766848187e-08,117,
chalkiness_deg_pct,2019,1.626653754469607,0.5644056795637864,0.003950784478096247,139,
chalkiness_deg_pct,2020,0.9158329952373294,0.3204829449256393,0.004267702665447881,211,
chalkiness_deg_pct,2021,0.890636749849112,0.2879879593337644,0.0019839933284329495,279,
chalkiness_deg_pct,2022,0.7713953488372087,0.37111552841218615,0.03765546667870355,88,
quality_stated,2017,-0.3266462756387186,0.08153327722841032,6.167888119889921e-05,121,
quality_stated,2019,-0.1871275327771153,0.06907723878292009,0.006749431154625321,139,
quality_stated,2020,-0.053293855213513486,0.055019259129378176,0.3327248380141383,212,
quality_stated,2021,-0.13069770005432968,0.03938835318163273,0.0009060562800218886,289,
quality_stated,2022,-0.051988636363635835,0.049449969835223526,0.2931033433221889,89,
yield_gain_pct,2017,-0.6307142857142827,0.603351793465183,0.295860862591656,27,
yield_gain_pct,2019,0.6976817640047682,0.3562013226830377,0.05015114351399298,139,
yield_gain_pct,2020,0.7314703163042424,0.31445073621093084,0.020008729232404883,212,
yield_gain_pct,2021,0.3246728008966373,0.3331605691930302,0.3297966812612806,250,
yield_gain_pct,2022,0.9307368775235543,0.4433356519235331,0.03578205008579933,85,
